,scenario,reverb,snr,si_sdri,si_sdr,si_sdr_start
0,0,0.31,3.82,10.526479721069336,6.814051151275635,-3.712428092956543
1,1,0.32,13.88,9.49465560913086,9.131103515625,-0.3635523021221161
2,2,0.42,3.31,6.076166152954102,2.048466682434082,-4.0276994705200195
3,3,0.34,5.03,11.467778205871582,8.427192687988281,-3.040585517883301
4,4,0.33,13.62,7.454570770263672,6.934752464294434,-0.5198183059692383
5,5,0.45,4.95,-0.8387877941131592,-2.9361863136291504,-2.097398519515991
6,6,0.44,8.44,7.430484771728516,6.404573440551758,-1.0259112119674683
7,7,0.3,1.75,7.279934883117676,3.5942671298980713,-3.6856677532196045
8,8,0.38,8.43,8.336426734924316,6.809114456176758,-1.5273122787475586
9,9,0.24,6.37,10.145851135253906,8.395219802856445,-1.75063157081604
10,10,0.49,7.66,10.496944427490234,8.470818519592285,-2.026125431060791
11,11,0.33,13.09,9.766719818115234,8.98241901397705,-0.7843003273010254
12,12,0.52,11.18,8.529088973999023,6.814826965332031,-1.7142624855041504
13,13,0.33,2.17,7.967624664306641,4.197429656982422,-3.7701947689056396
14,14,0.25,6.65,13.203716278076172,11.614063262939453,-1.5896525382995605
15,15,0.57,3.97,7.142787933349609,4.583798408508301,-2.5589892864227295
16,16,0.27,6.06,7.33408260345459,4.31702184677124,-3.0170605182647705
17,17,0.55,3.38,5.835917949676514,2.760218381881714,-3.0756995677948
18,18,0.36,6.16,5.377199172973633,3.4187629222869873,-1.9584362506866455
19,19,0.48,0.96,2.175004005432129,-2.2399210929870605,-4.4149250984191895
20,20,0.28,1.12,7.569446086883545,3.440514087677002,-4.128931999206543
21,21,0.46,1.61,9.607755661010742,5.447589874267578,-4.160165309906006
22,22,0.32,1.5,9.491497993469238,5.617850303649902,-3.873647689819336
23,23,0.24,7.86,11.350987434387207,10.133621215820312,-1.2173665761947632
24,24,0.41,7.49,9.05178451538086,6.8044819831848145,-2.247302532196045
25,25,0.47,9.95,11.213509559631348,10.156282424926758,-1.0572270154953003
26,26,0.29,10.05,7.2079291343688965,6.412869453430176,-0.795059859752655
27,27,0.57,7.53,5.200638771057129,3.460847854614258,-1.7397911548614502
28,28,0.33,11.96,5.996335983276367,5.476287841796875,-0.5200482606887817
29,29,0.23,2.67,6.897096157073975,3.6695070266723633,-3.2275891304016113
30,30,0.48,1.4,9.181621551513672,4.116427421569824,-5.065194129943848
31,31,0.3,14.19,12.01719856262207,11.637718200683594,-0.3794804811477661
32,32,0.4,0.86,5.466114521026611,1.0656384229660034,-4.400475978851318
33,33,0.28,10.41,9.553915023803711,8.631406784057617,-0.9225082397460938
34,34,0.6,10.59,4.41266393661499,3.5674610137939453,-0.8452030420303345
35,35,0.23,7.19,10.021480560302734,6.637715816497803,-3.38376522064209
36,36,0.32,11.73,7.761289119720459,7.2728071212768555,-0.48848217725753784
37,37,0.37,5.41,6.48947286605835,4.235772132873535,-2.2537007331848145
38,38,0.58,14.53,4.307814598083496,4.096698760986328,-0.21111604571342468
39,39,0.49,4.13,6.961228847503662,4.440361976623535,-2.520866870880127
40,40,0.3,2.74,9.034035682678223,5.869541168212891,-3.164494752883911
41,41,0.28,3.69,6.413985252380371,3.481605291366577,-2.932379722595215
42,42,0.5,9.16,5.999568939208984,4.952087879180908,-1.0474810600280762
43,43,0.31,1.61,7.404308319091797,2.4617702960968018,-4.942537784576416
44,44,0.49,5.22,5.437107563018799,3.3255233764648438,-2.111584186553955
45,45,0.42,0.2,8.97136116027832,3.5803985595703125,-5.390962600708008
46,46,0.52,2.59,7.964027404785156,3.9734697341918945,-3.990557909011841
47,47,0.35,3.85,10.168935775756836,7.272216796875,-2.8967185020446777
48,48,0.31,3.31,9.737524032592773,5.759581565856934,-3.977942705154419
49,49,0.49,2.45,7.756989002227783,4.402048110961914,-3.354940891265869
50,50,0.37,0.64,9.015488624572754,3.980264902114868,-5.035223960876465
51,51,0.43,11.95,10.933406829833984,10.199747085571289,-0.7336597442626953
52,52,0.55,14.53,11.129524230957031,10.833645820617676,-0.29587864875793457
53,53,0.38,12.49,9.251852035522461,8.660807609558105,-0.5910439491271973
54,54,0.59,5.68,9.066591262817383,6.721096992492676,-2.3454947471618652
55,55,0.45,10.01,11.44638442993164,10.646329879760742,-0.8000548481941223
56,56,0.58,9.7,3.163541555404663,2.1921896934509277,-0.9713518619537354
57,57,0.32,14.69,9.729864120483398,9.099751472473145,-0.6301131248474121
58,58,0.5,3.31,9.06359577178955,6.1008381843566895,-2.9627578258514404
59,59,0.54,8.64,5.846827507019043,4.829266548156738,-1.0175607204437256
60,60,0.23,6.92,10.963595390319824,9.405693054199219,-1.5579023361206055
61,61,0.48,6.57,8.142736434936523,5.961855888366699,-2.1808807849884033
62,62,0.58,6.87,6.14698600769043,4.5814995765686035,-1.5654864311218262
63,63,0.32,0.46,3.294407367706299,-1.1480389833450317,-4.442446231842041
64,64,0.23,5.75,9.784507751464844,7.926642417907715,-1.8578650951385498
65,65,0.47,6.95,10.95211410522461,8.437281608581543,-2.5148329734802246
66,66,0.36,9.59,9.328304290771484,8.14909553527832,-1.179208517074585
67,67,0.28,2.62,9.88849925994873,6.399844169616699,-3.488654851913452
68,68,0.21,0.21,5.958918571472168,1.302431344985962,-4.656487464904785
69,69,0.43,8.19,7.6256937980651855,6.375329971313477,-1.250363826751709
70,70,0.59,8.89,11.780089378356934,10.415326118469238,-1.3647630214691162
71,71,0.46,12.55,8.376401901245117,7.992240905761719,-0.384160578250885
72,72,0.25,8.42,8.223359107971191,5.8156609535217285,-2.407698154449463
73,73,0.56,14.04,5.583543300628662,5.150998592376709,-0.4325448274612427
74,74,0.44,7.33,10.23231315612793,8.638545989990234,-1.5937676429748535
75,75,0.51,13.94,9.407088279724121,9.069831848144531,-0.3372567892074585
76,76,0.56,6.85,-1.8881431818008423,-3.714367628097534,-1.826224446296692
77,77,0.4,7.76,8.003870964050293,6.453916549682617,-1.5499542951583862
78,78,0.43,11.93,9.754377365112305,9.142377853393555,-0.6119992733001709
79,79,0.33,12.02,10.734580993652344,10.234646797180176,-0.4999346137046814
80,80,0.35,8.02,9.947707176208496,8.692573547363281,-1.2551333904266357
81,81,0.23,5.92,8.339212417602539,6.4134521484375,-1.9257597923278809
82,82,0.48,13.2,8.419085502624512,8.089588165283203,-0.32949724793434143
83,83,0.48,0.6,10.413244247436523,5.99126672744751,-4.421977519989014
84,84,0.25,11.97,9.07091236114502,8.397684097290039,-0.6732280254364014
85,85,0.32,10.44,9.652042388916016,8.558786392211914,-1.0932559967041016
86,86,0.33,3.37,8.711709976196289,5.121312618255615,-3.590397834777832
87,87,0.23,11.21,9.098950386047363,8.232657432556152,-0.8662927150726318
88,88,0.3,3.69,9.215539932250977,6.518556594848633,-2.6969828605651855
89,89,0.26,0.79,11.560894966125488,6.494229316711426,-5.0666656494140625
90,90,0.59,12.01,7.650120735168457,6.946977615356445,-0.7031431198120117
91,91,0.43,0.15,7.614664077758789,2.59446120262146,-5.02020263671875
92,92,0.47,6.12,6.254196643829346,4.345348358154297,-1.9088484048843384
93,93,0.6,9.6,11.684649467468262,9.165267944335938,-2.519381284713745
94,94,0.35,7.24,-1.033193826675415,-2.2836661338806152,-1.2504723072052002
95,95,0.52,5.07,3.8977980613708496,1.7152155637741089,-2.1825826168060303
96,96,0.28,1.08,9.137014389038086,4.52277946472168,-4.6142354011535645
97,97,0.2,8.94,10.472698211669922,7.417983055114746,-3.054715633392334
98,98,0.26,5.66,8.116025924682617,6.20206356048584,-1.9139618873596191
99,99,0.44,0.89,3.3095107078552246,-2.6207571029663086,-5.930267810821533
100,100,0.26,3.73,8.716797828674316,4.8370256423950195,-3.879772186279297
101,101,0.26,10.33,8.769965171813965,7.937677383422852,-0.8322879672050476
102,102,0.33,1.36,8.46595573425293,4.524168968200684,-3.941786527633667
103,103,0.32,13.29,9.749089241027832,8.784738540649414,-0.964350700378418
104,104,0.43,10.44,9.776793479919434,8.855868339538574,-0.9209253787994385
105,105,0.4,5.77,9.117837905883789,6.244545936584473,-2.8732919692993164
106,106,0.38,8.44,8.590539932250977,7.494405269622803,-1.0961344242095947
107,107,0.43,14.57,9.682930946350098,9.35038948059082,-0.332541286945343
