,scenario,reverb,snr,si_sdri,si_sdr,si_sdr_start,si_sdr_start_speaker0,si_sdr_start_speaker1,si_sdr_speaker0,si_sdr_spkeaker1,vad_accuracy,vad_acc_speaker0,vad_acc_speaker1
0,0,0.31,3.82,11.231480598449707,7.519052505493164,-3.712428092956543,-9.247833251953125,1.8229771852493286,3.8107943534851074,11.227310180664062,0.9088000059127808,0.8607999682426453,0.9567999839782715
1,1,0.32,13.88,6.008820533752441,5.645268440246582,-0.3635523021221161,0.11355014145374298,-0.840654730796814,5.8089447021484375,5.481591701507568,0.9447999596595764,0.9375999569892883,0.9519999623298645
2,2,0.42,3.31,7.136220932006836,3.1085216999053955,-4.0276994705200195,-9.74773120880127,1.692332148551941,-1.1450697183609009,7.362112998962402,0.946399986743927,0.9055999517440796,0.9871999621391296
3,3,0.34,5.03,11.998733520507812,8.958148002624512,-3.040585517883301,-8.557863235473633,2.4766924381256104,6.195828437805176,11.720467567443848,0.9375999569892883,0.9071999788284302,0.9679999947547913
4,4,0.33,13.62,8.184259414672852,7.664440631866455,-0.5198183059692383,6.138936996459961,-7.1785736083984375,11.401959419250488,3.926922082901001,0.9479999542236328,0.9695999622344971,0.9264000058174133
5,5,0.45,4.95,2.357062578201294,0.2596641182899475,-2.097398519515991,-2.1378746032714844,-2.056922435760498,0.12722043693065643,0.3921077847480774,0.9599999785423279,0.9711999893188477,0.9487999677658081
6,6,0.44,8.44,7.734152793884277,6.7082414627075195,-1.0259112119674683,-0.7636675238609314,-1.2881548404693604,7.243514537811279,6.172967910766602,0.9583999514579773,0.9472000002861023,0.9695999622344971
7,7,0.3,1.75,7.035378456115723,3.3497109413146973,-3.6856677532196045,-3.7068448066711426,-3.6644906997680664,3.4307548999786377,3.268667221069336,0.8919999599456787,0.9023999571800232,0.8815999627113342
8,8,0.38,8.43,8.847769737243652,7.320457458496094,-1.5273122787475586,3.226888656616211,-6.281513214111328,9.832611083984375,4.808304309844971,0.972000002861023,0.9503999948501587,0.9935999512672424
9,9,0.24,6.37,10.697164535522461,8.946533203125,-1.75063157081604,0.24191561341285706,-3.7431788444519043,9.236804962158203,8.656261444091797,0.9399999976158142,0.9071999788284302,0.9727999567985535
