,scenario,reverb,snr,si_sdri,si_sdr,si_sdr_start,si_sdr_start_speaker0,si_sdr_start_speaker1,si_sdr_speaker0,si_sdr_spkeaker1
0,0,0.5,11.44,-1.471450686454773,-1.364615797996521,0.10683488845825195,0.11785019189119339,0.09581957757472992,0.11360007524490356,-2.842831611633301
1,1,0.26,2.59,7.056567668914795,5.171734809875488,-1.8848328590393066,-1.8480660915374756,-1.9215996265411377,5.547684669494629,4.7957844734191895
2,2,0.23,1.53,-0.4129030704498291,-2.65026593208313,-2.237362861633301,-2.262584686279297,-2.2121407985687256,-2.189344644546509,-3.111187219619751
3,3,0.31,6.43,9.994421005249023,9.053096771240234,-0.9413237571716309,-0.9282506108283997,-0.9543968439102173,9.079402923583984,9.026789665222168
4,4,0.57,2.28,7.679605960845947,5.701313018798828,-1.9782929420471191,-1.9651072025299072,-1.9914788007736206,5.508177280426025,5.894448757171631
5,5,0.22,14.83,-0.5592795014381409,-0.65375816822052,-0.09447865933179855,-0.10041826218366623,-0.08853905647993088,-1.4582310914993286,0.150714710354805
6,6,0.5,8.65,9.529151916503906,8.894699096679688,-0.6344529390335083,-0.6284362077713013,-0.6404696702957153,9.183417320251465,8.60598087310791
7,7,0.49,5.85,6.4243550300598145,5.418065071105957,-1.0062899589538574,-1.0013766288757324,-1.0112032890319824,5.386640548706055,5.449490070343018
8,8,0.57,1.58,8.682403564453125,6.408563613891602,-2.2738404273986816,-2.281421184539795,-2.2662599086761475,6.61766242980957,6.199464797973633
9,9,0.31,7.35,8.970887184143066,8.279296875,-0.6915901899337769,-0.6588602662086487,-0.724320113658905,8.161550521850586,8.397043228149414
10,10,0.37,14.61,1.4207669496536255,1.3718514442443848,-0.04891551658511162,-0.07169286906719208,-0.02613816410303116,1.5758239030838013,1.1678791046142578
11,11,0.45,7.01,7.430704116821289,6.618356704711914,-0.8123471736907959,-0.7994627356529236,-0.8252315521240234,6.896085739135742,6.340627670288086
12,12,0.41,9.94,7.674625396728516,7.206340789794922,-0.4682846665382385,-0.5028924942016602,-0.4336768388748169,7.442595958709717,6.970085144042969
13,13,0.41,12.18,12.513638496398926,12.302515983581543,-0.21112236380577087,-0.2179107815027237,-0.20433394610881805,12.290822982788086,12.314208984375
14,14,0.26,6.61,8.574178695678711,7.7999982833862305,-0.77418053150177,-0.7951948046684265,-0.7531663179397583,7.965815544128418,7.634181499481201
15,15,0.4,9.33,8.018749237060547,7.548773765563965,-0.46997523307800293,-0.45875099301338196,-0.4811994433403015,7.538852691650391,7.558694362640381
16,16,0.5,4.82,9.683377265930176,8.40230941772461,-1.2810680866241455,-1.2913082838058472,-1.2708280086517334,8.09677505493164,8.707843780517578
17,17,0.36,6.69,0.9142659306526184,-0.06383322179317474,-0.9780991673469543,-0.9505680799484253,-1.0056302547454834,0.36421117186546326,-0.49187761545181274
18,18,0.36,12.94,7.373020172119141,7.154400825500488,-0.21861958503723145,-0.20701143145561218,-0.2302277386188507,7.157832145690918,7.1509690284729
19,19,0.38,10.87,-0.9959134459495544,-1.3523167371749878,-0.35640329122543335,-0.3587600290775299,-0.3540465235710144,-0.5401721596717834,-2.164461374282837
20,20,0.24,3.32,-1.3680572509765625,-3.0210647583007812,-1.6530075073242188,-1.62082839012146,-1.685186743736267,-4.989831924438477,-1.0522973537445068
21,21,0.24,11.03,0.2673000693321228,0.007535845041275024,-0.2597642242908478,-0.249307781457901,-0.27022066712379456,-0.7076275944709778,0.7226992845535278
22,22,0.43,0.56,8.81210994720459,6.175854682922363,-2.6362550258636475,-2.586484432220459,-2.686025619506836,5.445191860198975,6.90651798248291
23,23,0.24,9.59,0.14463287591934204,-0.23909419775009155,-0.3837270736694336,-0.4001631736755371,-0.3672909736633301,0.8267943859100342,-1.3049827814102173
24,24,0.54,4.58,8.968362808227539,7.736009120941162,-1.232353925704956,-1.2720261812210083,-1.1926816701889038,7.80672025680542,7.665297985076904
25,25,0.32,3.71,7.719311714172363,6.2272796630859375,-1.4920318126678467,-1.561953067779541,-1.4221105575561523,5.998513698577881,6.456045627593994
26,26,0.54,2.41,0.9581897258758545,-1.1785218715667725,-2.136711597442627,-2.146462917327881,-2.126960039138794,-0.7024637460708618,-1.6545798778533936
27,27,0.31,13.52,4.432281017303467,4.228420734405518,-0.20386049151420593,-0.21219849586486816,-0.1955224722623825,4.163553237915039,4.293288230895996
28,28,0.23,11.57,10.453656196594238,10.266109466552734,-0.1875464916229248,-0.18312817811965942,-0.19196480512619019,10.35189151763916,10.180326461791992
29,29,0.45,6.96,3.8649394512176514,3.0725128650665283,-0.7924265265464783,-0.8483117818832397,-0.7365412712097168,2.8807826042175293,3.2642431259155273
30,30,0.47,13.72,4.302583694458008,4.150473594665527,-0.15210989117622375,-0.1654847264289856,-0.13873505592346191,4.200435638427734,4.1005120277404785
31,31,0.54,6.42,3.3635177612304688,2.571185827255249,-0.7923318147659302,-0.8597599864006042,-0.7249037027359009,2.4697885513305664,2.6725831031799316
32,32,0.51,1.21,7.289729595184326,4.916590690612793,-2.373138904571533,-2.435798406600952,-2.310479164123535,4.560996055603027,5.272185325622559
33,33,0.48,4.93,9.87088680267334,8.543128967285156,-1.3277581930160522,-1.3539940118789673,-1.3015223741531372,8.92508316040039,8.161173820495605
34,34,0.56,12.53,6.592519760131836,6.334832191467285,-0.2576875388622284,-0.2527163028717041,-0.2626587748527527,6.414471626281738,6.255192756652832
35,35,0.23,13.5,11.242232322692871,11.011940002441406,-0.23029273748397827,-0.218016117811203,-0.24256935715675354,11.167882919311523,10.855998039245605
36,36,0.52,12.9,0.8922950029373169,0.7093304991722107,-0.1829645037651062,-0.19617079198360443,-0.16975823044776917,0.6414107084274292,0.7772502899169922
37,37,0.49,5.62,-2.201416254043579,-3.2038540840148926,-1.0024378299713135,-0.9937294721603394,-1.011146068572998,-3.958897113800049,-2.4488112926483154
38,38,0.36,8.15,8.223379135131836,7.674756050109863,-0.5486232042312622,-0.594668447971344,-0.5025780200958252,7.489306926727295,7.860205173492432
39,39,0.45,13.16,10.912546157836914,10.710491180419922,-0.2020546793937683,-0.20356342196464539,-0.20054593682289124,10.647911071777344,10.7730712890625
40,40,0.46,1.93,10.018932342529297,7.868682384490967,-2.15024995803833,-2.1197941303253174,-2.180706024169922,7.79310941696167,7.944255352020264
41,41,0.58,2.02,8.441221237182617,6.3574676513671875,-2.0837535858154297,-2.0324490070343018,-2.1350579261779785,6.822207450866699,5.892727375030518
42,42,0.54,8.47,0.9428056478500366,0.4274149537086487,-0.5153906941413879,-0.5146670937538147,-0.5161142945289612,-0.22908341884613037,1.0839133262634277
43,43,0.48,14.74,3.6500813961029053,3.5678842067718506,-0.08219729363918304,-0.07956187427043915,-0.08483271300792694,3.6490416526794434,3.486726760864258
44,44,0.45,4.93,10.62831974029541,9.364738464355469,-1.2635812759399414,-1.2074546813964844,-1.3197077512741089,9.576240539550781,9.153237342834473
45,45,0.42,13.6,9.444302558898926,9.239490509033203,-0.20481190085411072,-0.224828839302063,-0.18479497730731964,9.040382385253906,9.4385986328125
46,46,0.37,9.2,8.845638275146484,8.362029075622559,-0.483609676361084,-0.4505980312824249,-0.5166212916374207,8.577397346496582,8.146660804748535
47,47,0.41,12.0,3.8896243572235107,3.5883612632751465,-0.30126312375068665,-0.31691908836364746,-0.28560715913772583,3.395578622817993,3.7811436653137207
48,48,0.4,9.76,10.725655555725098,10.222448348999023,-0.5032073259353638,-0.5115455985069275,-0.4948689937591553,10.261678695678711,10.183218002319336
49,49,0.36,9.97,0.819807231426239,0.4562610387802124,-0.3635461926460266,-0.33433687686920166,-0.39275550842285156,0.5625244379043579,0.3499976098537445
50,50,0.2,14.69,10.178208351135254,10.100940704345703,-0.07726773619651794,-0.10475417971611023,-0.049781300127506256,10.053424835205078,10.148457527160645
51,51,0.56,4.95,8.113351821899414,7.004347801208496,-1.1090035438537598,-1.089688777923584,-1.128318428993225,6.959507942199707,7.049188137054443
52,52,0.34,4.48,9.169235229492188,7.8069353103637695,-1.3623003959655762,-1.3359835147857666,-1.3886171579360962,8.247986793518066,7.365883827209473
53,53,0.36,4.35,2.838345766067505,1.5939133167266846,-1.2444324493408203,-1.2354272603988647,-1.2534375190734863,1.7724080085754395,1.4154186248779297
54,54,0.35,3.23,-0.3312985897064209,-2.098958969116211,-1.76766037940979,-1.7857469320297241,-1.749573826789856,-2.141235113143921,-2.056682825088501
55,55,0.5,4.77,2.7171008586883545,1.527156114578247,-1.1899447441101074,-1.1978459358215332,-1.182043433189392,1.7001007795333862,1.3542115688323975
56,56,0.22,4.26,10.124737739562988,8.710917472839355,-1.4138202667236328,-1.4613908529281616,-1.3662497997283936,8.196949005126953,9.224885940551758
57,57,0.59,0.62,8.161054611206055,5.533243179321289,-2.627811908721924,-2.636866331100464,-2.618757724761963,5.745382308959961,5.321104526519775
58,58,0.47,12.72,9.21233081817627,8.91973876953125,-0.2925921082496643,-0.2943981885910034,-0.2907860279083252,9.102222442626953,8.737255096435547
59,59,0.46,0.65,4.300164699554443,1.5508595705032349,-2.749305248260498,-2.7597453594207764,-2.7388648986816406,0.611747682094574,2.489971399307251
60,60,0.58,9.14,7.474443435668945,6.956578254699707,-0.5178650617599487,-0.5470885634422302,-0.48864150047302246,7.116553783416748,6.796602249145508
61,61,0.31,12.39,8.266448974609375,8.033111572265625,-0.23333746194839478,-0.2405332773923874,-0.22614166140556335,7.984905242919922,8.081316947937012
